----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
Accel-Sim-build,,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1___ws_32--all_kernels,l1_bw_64f/__tpb_1024___tpsm_1024___blocks_1___ws_32--all_kernels,l1_bw_128/__tpb_1024___tpsm_1024___blocks_1___ws_32--all_kernels,l1_lat/__blocks_1___ws_32--all_kernels,l2_bw_32f/__tpb_1024___tpsm_1024___blocks_160___ws_32--all_kernels,l2_bw_64f/__tpb_1024___tpsm_1024___blocks_160___l2_786432___ws_32--all_kernels,l2_lat/__tpb_1___tpsm_1___blocks_1___l2_786432___ws_32--all_kernels,mem_bw/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--all_kernels,mem_lat/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--all_kernels,shared_bw/__tpb_1024___tpsm_1024___blocks_1____ws_32--all_kernels,shared_lat/__blocks_1____ws_32--all_kernels,shared_bank_conflicts/1--all_kernels,shared_bank_conflicts/2--all_kernels,MaxIops_int32/__tpb_1024____blocks_1____ws_32--all_kernels,l1_shared_bw/__tpb_1024____blocks_1____ws_32--all_kernels,l1_bw_32f_unroll/__tpb_1024___blocks_1____ws_32--all_kernels,l1_bw_32f_unroll_large/NO_ARGS--all_kernels,AVG
RTX3070-SASS,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,accelsim-commit-b86c131_modified_0.0_26-01-16-17-41-24,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
GPGPU-Sim-build,,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1___ws_32--all_kernels,l1_bw_64f/__tpb_1024___tpsm_1024___blocks_1___ws_32--all_kernels,l1_bw_128/__tpb_1024___tpsm_1024___blocks_1___ws_32--all_kernels,l1_lat/__blocks_1___ws_32--all_kernels,l2_bw_32f/__tpb_1024___tpsm_1024___blocks_160___ws_32--all_kernels,l2_bw_64f/__tpb_1024___tpsm_1024___blocks_160___l2_786432___ws_32--all_kernels,l2_lat/__tpb_1___tpsm_1___blocks_1___l2_786432___ws_32--all_kernels,mem_bw/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--all_kernels,mem_lat/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--all_kernels,shared_bw/__tpb_1024___tpsm_1024___blocks_1____ws_32--all_kernels,shared_lat/__blocks_1____ws_32--all_kernels,shared_bank_conflicts/1--all_kernels,shared_bank_conflicts/2--all_kernels,MaxIops_int32/__tpb_1024____blocks_1____ws_32--all_kernels,l1_shared_bw/__tpb_1024____blocks_1____ws_32--all_kernels,l1_bw_32f_unroll/__tpb_1024___blocks_1____ws_32--all_kernels,l1_bw_32f_unroll_large/NO_ARGS--all_kernels,AVG
RTX3070-SASS,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,gpgpu-sim_git-commit-8bfb0768_modified_0.0,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
gpu_tot_sim_insn\s*=\s*(.*),,,,,,,,,,,,,,,,,,
