----------------------------------------------------------------------------------------------------,
Accel-Sim-build,
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,NA
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
GPGPU-Sim-build,
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,NA
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
gpu_tot_sim_insn\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,14255200.2
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*,
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,42.6
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
gpu_tot_sim_cycle\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,22702.9
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,20343.5
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,25797.9
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,34794.7
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,39328.5
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+L2_cache_stats_breakdown\[CHIPLET_ACC_R\]\[HIT\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,18903.2
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+L2_cache_stats_breakdown\[CHIPLET_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,23934.9
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+L2_cache_stats_breakdown\[CHIPLET_ACC_W\]\[HIT\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,0.0
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+L2_cache_stats_breakdown\[CHIPLET_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,NA
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,72746.6
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,25118.3
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,8389.9
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,22812.4
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[MSHR_HIT\]\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,12921.3
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
gpgpu_n_tot_w_icount\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,560254.1
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
total dram reads\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,9783.7
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
total dram writes\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,2554.3
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
kernel_launch_uid\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,1.0
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
gpgpu_n_shmem_bkconflict\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,4452.4
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
gpgpu_n_l1cache_bkconflict\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,33481.9
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
gpu_ipc\s*=\s*(.*),
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,657.9
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
gpu_occupancy\s*=\s*(.*)%,
CFG,AV--VG
H200-SASS-accel-830835a-gpgpu-5808fe9,22.6
H200-SASS-accel-830835a-gpgpu-635d289,NA

----------------------------------------------------------------------------------------------------,
